"Material","Energy_MeV","CrossSection_cm2_g","Attenuation_cm_1","EnergyAttenuation_cm_1"
"Air_J","0,001","0,012952608987689018","17,151840209960938","17,119590759277344"
"Air_J","0,0015","0,023891253396868706","3,8368959426879883","3,82858943939209"
"Air_J","0,002","0,034992191940546036","0,702495813369751","0,7003470659255981"
"Air_J","0,003","0,05563127622008324","0,2908536493778229","0,28941595554351807"
"Air_J","0,004","0,07333053648471832","0,10687939077615738","0,10484901070594788"
"Air_J","0,005","0,08814288675785065","0,09927712380886078","0,09733094274997711"
"Air_J","0,006","0,10046160221099854","0,034493640065193176","0,03351788967847824"
"Air_J","0,008","0,11915887892246246","0,014112506061792374","0,013476533815264702"
"Air_J","0,01","0,13199198246002197","0,006604422349482775","0,006117247510701418"
"Air_J","0,015","0,14859291911125183","0,002747714053839445","0,002368299523368478"
"Air_J","0,02","0,1562187522649765","0,0010306043550372124","0,0007209907053038478"
"Air_J","0,03","0,16326162219047546","0,0005506823072209954","0,00028386316262185574"
"Air_J","0,04","0,16430851817131042","0,00032740290043875575","9,366837912239134E-05"
"Air_J","0,05","0,16258594393730164","0,0003192851727362722","8,726260421099141E-05"
"Air_J","0,06","0,1596171110868454","0,00024702525115571916","4,1913379391189665E-05"
"Air_J","0,08","0,15259242057800293","0,00021651669521816075","3,1660045351600274E-05"
"Air_J","0,1","0,14569564163684845","0,0001987490977626294","2,9996561352163553E-05"
"Air_J","0,15","0,13140715658664703","0,00017841190856415778","3,1870396924205124E-05"
"Air_J","0,2","0,12073295563459396","0,00015952748071867973","3,4417967981426045E-05"
"Air_J","0,3","0,10569655895233154","0,00014140375424176455","3,6609872040571645E-05"
"Air_J","0,4","0,09521332383155823","0,00012391489872243255","3,7996571336407214E-05"
"Air_J","0,5","0,08724548667669296","0,00012291906750760972","3,8051835872465745E-05"
"Air_J","0,6","0,08087199181318283","0,000105584658740554","3,812377690337598E-05"
"Air_J","0,8","0,07113970071077347","9,220952051691711E-05","3,7253535992931575E-05"
"Air_J","1","0,06393397599458694","9,125329233938828E-05","3,718522930284962E-05"
"Lung_J","0,001","0,017284540459513664","5721,408203125","5711,6845703125"
"Lung_J","0,0015","0,0298272967338562","1102,779296875","1100,66796875"
"Lung_J","0,002","0,04214728996157646","154,04510498046875","153,52340698242188"
"Lung_J","0,003","0,0645236074924469","66,95896911621094","66,44198608398438"
"Lung_J","0,004","0,08343077450990677","23,005510330200195","22,66847038269043"
"Lung_J","0,005","0,09916497021913528","21,340713500976562","21,01643180847168"
"Lung_J","0,006","0,11223796755075455","7,417414665222168","7,232697486877441"
"Lung_J","0,008","0,1321573406457901","3,0334770679473877","2,904367685317993"
